sample,group,short_reads_1,short_reads_2,long_reads
10169,221014Esv_D22,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10169_R1.fastq.gz,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10169_R2.fastq.gz,
10170,221014Esv_D22,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10170_R1.fastq.gz,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10170_R2.fastq.gz,
10171,221014Esv_D22,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10171_R1.fastq.gz,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10171_R2.fastq.gz,
10172,221014Esv_D22,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10172_R1.fastq.gz,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10172_R2.fastq.gz,
10173,221014Esv_D22,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10173_R1.fastq.gz,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10173_R2.fastq.gz,
10174,221014Esv_D22,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10174_R1.fastq.gz,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10174_R2.fastq.gz,
10175,221014Esv_D22,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10175_R1.fastq.gz,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10175_R2.fastq.gz,
10176,221014Esv_D22,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10176_R1.fastq.gz,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10176_R2.fastq.gz,
10177,221014Esv_D22,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10177_R1.fastq.gz,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10177_R2.fastq.gz,
10178,221014Esv_D22,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10178_R1.fastq.gz,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10178_R2.fastq.gz,
10179,221014Esv_D22,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10179_R1.fastq.gz,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10179_R2.fastq.gz,
10180,221014Esv_D22,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10180_R1.fastq.gz,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10180_R2.fastq.gz,
10330,221014Esv_D22,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10330_R1.fastq.gz,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10330_R2.fastq.gz,
10331,221014Esv_D22,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10331_R1.fastq.gz,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10331_R2.fastq.gz,
10332,221014Esv_D22,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10332_R1.fastq.gz,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10332_R2.fastq.gz,
10333,221014Esv_D22,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10333_R1.fastq.gz,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10333_R2.fastq.gz,
10334,221014Esv_D22,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10334_R1.fastq.gz,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10334_R2.fastq.gz,
10335,221014Esv_D22,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10335_R1.fastq.gz,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10335_R2.fastq.gz,
10336,221014Esv_D22,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10336_R1.fastq.gz,s3://nao-illumina-private/exp4.006/all_compressed_fastqs/221014Esv_D22-10336_R2.fastq.gz,
