sample,group,short_reads_1,short_reads_2,long_reads
SRR14530767,HTP,s3://prjna729801/SRR14530767_1.fastq.gz,s3://prjna729801/SRR14530767_2.fastq.gz,
SRR14530766,HTP,s3://prjna729801/SRR14530766_1.fastq.gz,s3://prjna729801/SRR14530766_2.fastq.gz,
SRR14530765,HTP,s3://prjna729801/SRR14530765_1.fastq.gz,s3://prjna729801/SRR14530765_2.fastq.gz,
SRR14530764,HTP,s3://prjna729801/SRR14530764_1.fastq.gz,s3://prjna729801/SRR14530764_2.fastq.gz,
SRR14530763,HTP,s3://prjna729801/SRR14530763_1.fastq.gz,s3://prjna729801/SRR14530763_2.fastq.gz,
SRR14530762,HTP,s3://prjna729801/SRR14530762_1.fastq.gz,s3://prjna729801/SRR14530762_2.fastq.gz,
SRR14530881,HTP,s3://prjna729801/SRR14530881_1.fastq.gz,s3://prjna729801/SRR14530881_2.fastq.gz,
SRR14530880,HTP,s3://prjna729801/SRR14530880_1.fastq.gz,s3://prjna729801/SRR14530880_2.fastq.gz,
SRR14530772,HTP,s3://prjna729801/SRR14530772_1.fastq.gz,s3://prjna729801/SRR14530772_2.fastq.gz,
SRR14530771,HTP,s3://prjna729801/SRR14530771_1.fastq.gz,s3://prjna729801/SRR14530771_2.fastq.gz,
SRR14530770,HTP,s3://prjna729801/SRR14530770_1.fastq.gz,s3://prjna729801/SRR14530770_2.fastq.gz,
SRR14530769,HTP,s3://prjna729801/SRR14530769_1.fastq.gz,s3://prjna729801/SRR14530769_2.fastq.gz,
SRR14530888,HTP,s3://prjna729801/SRR14530888_1.fastq.gz,s3://prjna729801/SRR14530888_2.fastq.gz,
SRR14530890,HTP,s3://prjna729801/SRR14530890_1.fastq.gz,s3://prjna729801/SRR14530890_2.fastq.gz,
SRR14530889,HTP,s3://prjna729801/SRR14530889_1.fastq.gz,s3://prjna729801/SRR14530889_2.fastq.gz,
SRR14530887,HTP,s3://prjna729801/SRR14530887_1.fastq.gz,s3://prjna729801/SRR14530887_2.fastq.gz,
SRR14530886,HTP,s3://prjna729801/SRR14530886_1.fastq.gz,s3://prjna729801/SRR14530886_2.fastq.gz,
SRR14530885,HTP,s3://prjna729801/SRR14530885_1.fastq.gz,s3://prjna729801/SRR14530885_2.fastq.gz,
SRR14530884,HTP,s3://prjna729801/SRR14530884_1.fastq.gz,s3://prjna729801/SRR14530884_2.fastq.gz,
SRR14530882,HTP,s3://prjna729801/SRR14530882_1.fastq.gz,s3://prjna729801/SRR14530882_2.fastq.gz,
SRR14530891,HTP,s3://prjna729801/SRR14530891_1.fastq.gz,s3://prjna729801/SRR14530891_2.fastq.gz,
